temp,rh,rain
-2.9,27.5,0
-4.8,35.3,0
-1.7,49,0
0.5,57.1,3.9
-0.9,45.9,0
1.4,42.4,0
3.3,39.4,0
4.8,56.4,0
3.4,69.5,0
6.7,57.3,1
0.8,56.1,3
-0.8,42.6,0
0.4,50.3,0
3.1,58.6,0
3.7,51.8,0
7.9,43.1,0
8,74.1,0.5
8.5,66,0
13.2,48.8,0
1.2,32.5,0
4.2,33.4,0
7.5,60.4,3.5
5.2,64.5,11.5
4.1,48.9,0
4.6,43.4,0
6.3,53.6,0
8.2,57.5,7.5
8.3,73,1
8,61.1,0
2.8,51.9,0.1
1.5,34.3,0
3.4,61.6,0
5.4,39,0
5.1,47.4,0
2.8,40.3,0
4.4,39.9,0
7.5,30.1,0
7.3,42.1,0
5.4,28.6,0
4.9,43.1,0.2
6.3,46.4,0
9.2,44.5,0.5
7.2,86.1,8.5
7.9,64,0
12.6,44.5,0
14.6,42.1,0
7.5,84.4,14
5.1,57.3,1
8,55.1,1
6.2,50.8,0.5
5,49.3,1.5
5.5,54.5,0.5
6.9,42.6,0
11.4,38.6,0
8.3,40.4,3.5
7.5,31.5,0
13.2,54.5,0
14.8,62.3,0
12.3,37.4,0
9.8,27,0
6.6,70.8,9.5
9,58.8,0
11.4,43.8,0
11.2,59.3,5.5
12.3,67,0.1
9.3,78.9,4.5
11.7,55,0.1
12.8,51.4,0
16,51,0
13.5,67.6,21
13.4,48.8,0
13.2,52.4,1
12.4,67.1,1
12.6,64.8,0
13.9,58.1,0
14.3,51.8,0
14.6,54,0
18.7,41.4,0
19.4,33.6,0
18.1,55.3,2.5
14,89.3,22
17.9,55.5,0
19.1,61.3,1
21.6,45,0
20.2,46.9,0
19.4,57,0
22,33.3,0
20.2,36.6,0
17.7,62.8,14.5
16.6,80.9,19.5
14.4,76,0
17.7,43.3,0
19.7,49.4,0
22.1,59.3,0
21.3,58.9,0
24.7,49.6,0
23.9,45.9,0
19.7,80.4,56.5
18.9,89.1,11.5
16.1,87.8,2.5
19.2,57.9,0
21.3,46.6,0
21.7,44.3,0
23.5,48.6,0
21.3,59,0
22.8,54.3,0.2
24.8,51.8,0
25,55.9,0
25.7,50.9,0
26.4,48.5,0
27.4,38.3,0
27.5,35.5,0
23.7,57.9,7
20.5,85.4,6.5
23,70.5,0
24.6,62.3,0
24.6,58.4,0
22.5,69.8,0
22.3,76.8,0.5
21.7,90.1,12
24.3,71.1,0.1
25.8,58.5,0
26.6,57.5,0
25.1,63.9,0
22.9,69.6,0.3
23.5,66.6,0
25.1,58.6,0
24.5,59.8,0
25.1,63.1,0
25.5,61.1,1.5
27.2,54.8,0
27.7,60.4,0.2
27.1,58.4,0
24.3,82.5,51.5
25.2,69.1,0
24.9,84.3,32.5
25.6,73.4,1
25.2,73,0
24.9,78.8,3
24.3,88.6,68
24.5,87.3,6.5
25.3,82.8,1
24.6,86,14
23.6,88.4,74
24.2,90.1,165
24.1,90.9,23
26.5,80.1,3.5
26.9,70.4,1.5
24.2,89.1,18.5
25.1,85.6,26.5
26.8,72,0
27,72.4,1
26.8,78.8,0.5
26.4,81,84.5
25.7,87.3,56.5
24.7,79,11.5
26,71.8,0
26.5,70.9,0
26.2,67.8,0.2
25.3,85.5,11
26.5,82.3,3.5
26.3,73.9,9.5
26.4,75.4,8.5
28,67.3,0
27.4,80.4,7.5
28.9,72.3,0.1
28.3,76.4,4.5
27.7,78.9,7
26.4,80.8,45
28.7,73.8,0
29.3,73.5,0
29.2,79.9,0
28,82.4,2
28.7,71.8,0
29.3,69.8,0
29,65.6,0
28.6,67.1,0
28.7,71.5,0
28.7,71.8,4.5
28.7,69.6,0
28.3,72.8,13
28.2,68.9,6
27.4,62,0
28.8,54.9,0
29.3,58.6,0
25.7,78.9,35
26.6,60.4,0
27.1,52.3,0
27,52.3,0
25.6,61.6,0
26.4,59.4,0
25.5,79.1,21.5
25.1,69.6,0
24,65.8,2.5
23.5,54.6,0
22.4,49.9,0
21.7,43.5,0
22,46.5,0
21.2,52.9,0
20.8,59.6,0
21.9,61.8,0
22.9,63.4,0
23,67,0
22,76.3,11.5
20.1,90.6,36.5
23,80.4,0.5
22.9,87.5,50
23.1,81.1,11.5
23.4,59.5,0
20.9,49.3,0
22.6,48.4,0
24.4,54,0
24.7,56,0
23.4,71.5,0
23.8,66.9,0
23.1,54.9,0
23.8,55.6,0
22,81.8,4.5
19.5,57.3,0
17.3,36.9,0
17.9,50.9,0
17.4,70.6,4
17.2,86.1,19
20.7,71.8,1
21.6,66.8,0
19.4,58.6,0
16.3,49.1,0
17.4,54.6,0
20,48,0
20.8,53.5,0
22.8,65.9,0
20,83.4,3
20.5,63.9,0
21.1,71,0
18.1,57.5,6.5
16.4,53.8,0
17.3,62,0
18.3,63.6,0
12,79.4,3.5
11.2,53.1,0
12.4,55.5,0
13.6,54.8,0
14.6,59.1,0
16.7,60.1,0
16.2,50.3,0
15.9,46.1,0
16.2,49.1,0
13.1,50.8,0
9.3,41.9,0
10,50.5,0
11.4,56.3,0
11.6,65.5,0
12.7,71.3,0.5
10.5,58.9,0
11.7,54.9,0
14.8,50.8,0
11.6,79.8,7.5
11.9,80.3,0
12.6,70.3,0
12.3,64.3,0
12.2,77.5,1
12.2,52.9,0.1
9,43.4,0
11.6,62.1,5.5
5.5,45.3,0
2.6,32.9,0
3.4,36.1,0
4.8,43.5,0
6.7,55.1,1
8.2,78.3,2
7,72,2
5.2,58.1,1
1.1,53.6,0
1.1,53.9,0
1.5,38.8,0
2.6,48.8,0
4.6,57.9,0
7.1,64.6,0
7.3,74.3,14
4.7,64.6,9.5
2.1,60.9,1.5
0,66.8,1.7
-3.8,48.9,0
-0.7,52.9,0
5.3,56.9,0
4.5,66.9,0
3.9,64.3,0
6.7,62.6,0
5.5,72.8,0
5.5,73.4,0
3,42.6,0
6.2,60.8,0.1
4.2,75.3,0
3.8,83.1,14
0.3,56.1,0
-1.7,64.1,2.6
-3.2,69.9,4.1
-6.8,47.5,0
-4.9,65.4,1.1
-4.4,48.1,0
-3.6,52.6,0
-0.3,52.4,0
2.2,65.1,0.8
-3.5,60.6,0.3
-4,56.3,0
-3.1,56.4,0
-2.1,57.5,0
-1.1,57.1,0
-1.6,58,0
-0.5,60.4,0
-0.5,67.8,1.6
-6.8,49.5,0
-6.5,44.1,0
-2.9,59.8,0.1
2.2,55.4,0
3.8,58.8,0
4,51.3,0
1.5,35.4,0
2.3,54.4,0
-0.1,47.1,0
-0.8,48.4,0
0.8,50.4,0
3,56,0
0.5,56.6,0
-7.8,26.3,0
-4.7,48.6,0
-1.7,44.1,0
-2.4,43.5,0
-6.2,26,0
-4.3,33.8,0
-2.9,42,0
0.1,59.9,0
-0.1,55.9,0
-2.2,42.4,0
-2.6,44.8,0
-1.5,83.3,5.3
-5.5,62.6,0.7
-3.9,60,0
-0.8,65.6,0
3,64.4,0
4.2,74.4,3
-2.1,42.1,0
0.2,48,0
1.5,52.8,0.5
2.2,40.1,0
4,66.1,3.5
1.3,26.1,0
4.9,63.8,11
4.9,91.6,0.5
-3.5,38.5,0
-7.4,25.9,0
-4.8,27.5,0
-1.3,29.8,0
2.4,47.3,0
0.2,79.4,4.3
-1.6,76.5,0.2
-0.1,55,0.2
0.2,42.1,0
1.2,49.3,0
1.9,46.1,0
2.7,47.3,0
2.7,54.6,0
2.8,53.3,0
4.2,45.5,0
2.5,45.9,0
2.1,48.6,0
1.2,61.5,0
0.9,49.1,0
2.2,49.3,0
3.1,50.6,0
4.1,58,0
5.7,59.9,0
8.4,44.9,0
7.7,55.4,0
6.7,58.8,0
6,61.1,0
4.5,46.4,0
5.2,34.4,0
6.3,48,0
1.4,44.8,0
0.3,43.4,0
-0.6,45.9,0
2,55,0
1.4,56.4,2.2
1.5,50.4,0
4.5,65,0
6.9,75.8,0.2
5.2,54.5,0
3.4,54.6,0
6.8,66.8,0
11.3,68.3,0
12.6,79,0.5
10.5,75.3,0.4
9.6,65.5,0
6.3,71.3,0.4
5.9,52.5,0
8.6,63.5,0
9.6,63.6,0
10.9,60.5,0
14.6,75.9,0
15.4,64.6,0
13.5,68.9,0
16.6,57.3,0
15,73.4,3.5
14.9,63.5,0
14.5,49.3,0
15.6,33.8,0
15.5,30,0
10.2,63,0.5
6.6,52.6,0
6.2,60.5,0
7.4,50.6,0
10.3,64.9,0
11.9,60.9,0
10.3,85.3,0
12.5,71.5,0
13.6,69.5,0
14.3,68.8,0
17.2,54.9,0
16.3,53.3,0
12.9,80.1,0
14,81,0
14.7,67.4,3
15.9,59.9,0
14,56,0
14.6,54.4,0
15.1,55.1,0
16,43.1,0
17.2,49.4,0
18.6,49,0
19,32.5,0
18.7,38.9,0
15.6,86.6,8.5
13.6,91.6,13.5
15,69.5,5.5
16.1,62.1,0
16,60.5,0
15.7,70.9,1
13.1,54.6,0
12.3,57.8,0.2
11.3,56.5,0
13.1,45.9,0
15.7,48.3,2
14.5,83.9,4
16.8,60.8,0
20.5,43.4,0
18.9,54.4,23
16.4,79.1,10
19.2,69.9,0
19.6,59.1,0
18.2,66.9,0.3
19,50.3,0
20,48,0
20.3,50.1,0
20,55.1,0
21.5,45.4,0
20.1,65.3,0
20.9,63.4,0
22,68.4,0
21.3,68.8,0
20.5,78.9,21
19.4,67.4,1.5
22.8,49.5,0
24,60.8,0
23.2,54.6,0
24.8,42.5,0
26.2,50.3,0
24.7,58.1,0
22.6,73.5,2
18.7,95.3,33
22.8,61.5,0
22.9,58.8,0
24.4,58.9,0
23.5,65.1,0
21.4,75.3,0
22.9,70.8,0
23.6,72,5.5
20.5,87.1,19
21.2,73.9,0.1
21.3,79,0
22.5,71.6,0
23.2,69.9,0
23.9,66.4,0
24.5,71.8,3.5
24.4,71.3,0.1
22.5,79.3,0
24.2,76.5,1.5
23.1,80.9,8.5
23.7,74.4,0.4
21,91.4,24.5
22.9,74.6,0
23.8,74.1,0
24.4,68,0
24.1,74.8,0
23.8,71.6,0
24.1,70.3,0
25.3,68,0
26,67.8,0
25.7,77.3,20.5
22.6,85.5,2
26.8,62.1,0
25.7,70.4,0
25.7,65.8,0
27.1,61.4,0
25.9,73,0.2
27.6,78.3,0.5
28.9,57.9,0
27.1,63.4,0
25.3,74.3,0
25.4,73.4,0
26.4,70.8,0
26.8,69.4,0
26.6,68.4,0
25.9,75.9,0.2
26.1,80.5,1.5
27,79.8,0
27.9,75.8,0
27.3,73.9,0
25.9,83.9,16.5
23.6,90,55
21.9,92.8,48
27.5,81.9,59.5
22.6,86.1,2.5
25,75,0
26.6,71.6,0
26.5,68.4,0
28.6,70.6,0
28.6,75.9,1.5
30.2,63.4,0
31.4,55,0
26.5,87.6,13
26.4,93,6.5
26.6,87.5,0
24.4,92.4,10.5
24.7,91.1,0.2
26.1,62.3,0
26.5,48.4,0
23.4,79.4,42.5
23.7,78.4,0
25.8,77.8,0
24.2,75.3,0
22.3,78.6,0.5
24.9,72.9,0
26.1,73.9,0
24,81.1,3
22.3,90,11.5
22.3,96.6,4.5
24.8,86,0.5
23.1,96.5,46.5
24.7,83.4,15
25.2,79.5,0.5
25.6,75.5,0.1
25.9,71.8,0
25.4,71.4,11.5
24.6,66.8,0
25.1,65.3,0
25.2,71.9,6.5
24.6,71.6,0
24.1,68.6,0
24.1,72.5,1.5
23.1,73.6,6
19.1,99.8,57.5
22.4,79.4,0
23.8,76,0
25.2,66.9,0
25.3,72.1,0
24.8,75,0
23.3,66.5,0
22.4,60.6,0
23.3,61.1,0
21.3,74.9,0.1
23.1,60.9,0
23,60.6,0
23.1,64.9,0
21.3,43.8,0
20.2,52.3,0
20.6,56.5,0
21.4,55,0
21.6,52.5,0
20.2,61.6,0
21.4,57.5,0
23,52.1,0
20.3,77.9,6.5
22.2,66.9,0
21,78.1,0
21.4,79,0
21.7,85.5,0.5
19.4,99,16
18.9,72.5,0
19.2,68.6,0
18.1,89,9
16.1,74.3,0
16.9,62,0
17.1,53.1,0
16.6,57,0
16.1,64.8,0
16.7,61.5,0
18.6,60.4,0
19,63.3,0
19.4,57.4,0
21.2,48.5,0
17.4,51.9,0
13.8,51.8,0
13.8,60.4,0
13.2,53.8,2.5
13.6,53.8,0
15.5,68.9,0
17,61,0
14.4,97.8,21.5
13.8,92.8,18.5
13.6,69,0
13.8,67.8,0
15.1,78,0
16.5,81.1,0
16,76.9,0.5
10.7,35.3,0
10.2,43.4,0
12.1,46.4,0
14.2,45.8,0
15,62.1,0.2
17.3,63.4,0
12,50.5,2.5
9.3,40.9,0
11.3,60.5,0
12.4,65.6,0
13.5,61,0.5
9.8,52.5,0
9.9,61.9,0
10,46.3,0
9.4,49.9,0
9.4,67.4,2
6,50.6,5
-0.2,38.5,0
4.2,54,0
4.1,38.3,0
6.6,42.6,1
6.2,75.5,1.5
5,53.4,0
5.6,55.4,0
7.9,61.9,0
11.3,62.5,0
11,90.9,4
9,80,0
9.8,59.8,0
10.2,56,0
11,58.8,0
10.4,69.9,0
8.8,88,18
8.3,83.9,0
9.1,88.1,7
-1.1,58.8,0.5
-5.4,42.3,0
-3.3,70.6,0.9
-4.6,43,0
-6.6,45.5,0
-5.6,47.5,0
-3.4,43.9,0
-1.6,48.4,0
-2.4,44.1,0
1.6,58.8,2
-1.5,64.8,0.5
-3.8,70.4,0.1
-5.2,45.8,0
-3.6,60.5,0
-0.1,90.6,10.5
-4.9,58.9,0
-9,41,0
-8.3,39.9,0
-3.8,54.5,0.9
-1.7,66,2
-6.4,58.5,0
-4.7,64.6,0.3
-1.3,67.1,0
1.7,66.8,0.2
-2.6,52,0
-3.2,45.6,0
-1.8,46.8,0
-0.8,64.1,0
2.9,73.1,0
1.9,62.8,0
-1.9,47.4,0
-7.7,41.4,0
-6,45.9,0
-2.7,56.1,0
2.5,70.1,0
3.7,73.1,0.4
-3.2,52.4,3
-5.5,33.1,0
-5.1,45.8,0
-2.1,58.3,0
-0.3,56.5,0
-0.4,57.8,0
-2.7,37.8,0
0.2,39.6,0
2.5,41.1,0
2.8,53.6,0
0.8,73,0.3
-4.1,46,0
-1.3,68.4,4
-0.1,68.1,0.1
-0.9,55.8,0
2.6,58.3,0
3.1,60.6,0
1.2,66.4,0
3.7,62.9,0
3,78.4,3
3.6,87.5,0.5
-3.6,55.4,0
-4.1,49.3,0
-1.1,56.4,0
-3.3,51.8,0
-4.5,46.4,0
-3,44.9,0
-0.6,47.3,0
0.6,54.5,0
0.4,64.5,0
-0.1,57.1,0
0.4,57.3,0
1.2,65.3,0
-9.8,34.1,0
-5.7,54.6,0.2
1.7,69,0
2.7,60.3,0
-2.2,36.8,0
-1.6,46.4,0
2,72.9,0
7.9,61.6,0
5,91.9,10.5
1.9,78.5,0.5
0.8,72,0
2.2,67.1,0
5.2,55.3,0
5.7,79,8
3.5,78,2.5
0.9,60.4,0
2.1,60,0
5.4,48.6,0.5
1.2,56.9,0.5
-1.3,35.6,0
2.7,40.5,0
2.4,56.8,0
3.9,43.5,0
2.8,69.5,5.5
-2.1,43.4,0
-0.3,41.1,0
2.9,37.8,0
4.2,45.5,0
7.7,42.5,0
2.2,43.4,0
-3.4,30.6,0
0.4,45.1,0
2.1,41,0
5.6,45.4,0.1
4.3,31.4,0
5.5,42,0
9.8,44.4,0
10.7,51.9,0
10.7,61.5,1.5
12.4,50.9,0
13.4,32.5,0
11.7,31,0
8.3,33.3,0
4.6,24.3,0
5.4,32.8,0
6.5,45.9,0
7.9,47.5,0
9.1,50.5,0
9.7,35,0
10.5,61.9,0
13.2,57.4,0
12.9,80.6,2.5
12.9,67.9,2.5
14.8,70.5,28
10.6,83.4,3.5
13.5,48,0
10.5,75.1,0.5
10.3,55.8,0
8.4,59.5,0
8.3,52.5,0
9.6,43,0
11.6,40.5,0
13.5,39.3,0
14.9,30.6,0
12,53.9,6.5
6.9,89.9,10.5
11.1,72,1
9.9,69.5,7
10.5,45.4,0
15.2,31.9,0
14.5,74.8,12
12.2,75.3,5.5
14,46,0
14.2,47,0
14.5,41.1,0
15.7,38.3,0
15.9,31.3,0
17.3,37.6,0
18.5,39.3,0
20.3,38.6,0
17,77,3.5
21.2,56.6,0
21,58.8,0
20.7,64.4,0.5
18.3,90.4,3.5
16.1,45.9,0
14.2,37.9,0
15.4,36.3,0
16.5,35.6,0
16.7,64.3,0
17.6,55,0
19.1,39.6,0
18.4,62.1,14
13.3,75.9,9.5
17.4,56.9,0
20.4,63.8,0
19.1,71,0
18,41.3,0
18.6,40.4,0
17.7,53.9,0
14.8,88.9,1
16.3,60,0
18.7,50.1,0
20,45.3,0
20.6,38.5,0
21,37.3,0
20.8,53.1,0
21.5,48.9,0
23.2,32.9,0
24.3,27.1,0
23.8,36.8,0
19.8,71,0.4
22.1,52.8,0
21.7,44.6,0
23.1,46.9,0
23.3,33.3,0
24.2,28.9,0
19.1,58.8,1
22.4,50.4,0
23.4,46.8,0
22.4,54.9,0
22.2,66.3,0
25.3,54.3,0
24.6,59.6,7.5
23.6,63.1,0.5
24.7,61.9,0.5
22.8,70.3,15.5
24.2,65.6,0
25,65.9,0
23.4,72.8,9.5
24.8,59.4,3
24.5,57.8,0
19.6,91,44.5
22.4,69.1,0
24,60.4,0
24.7,64.1,0
25.7,58.3,0
24.8,65.1,2
21,75.8,12.5
25.2,55.3,0
25.4,61.8,0
25.7,61.8,0
24.4,70,2.5
23.7,66.3,0.5
23.7,64.5,0
23.3,62.6,0
24.1,55.8,0
24.2,57.4,0
25.3,54.3,0
25.6,52.1,0
23.4,69.8,0.5
26.5,61.3,0
29.2,60.9,0
30.4,60.3,0
24.8,94.1,29
23.1,90.8,10
26.1,72.4,0
27.9,58.8,0
24.7,51.3,0
23.6,49.8,0
24.3,63.5,0.5
25.1,77.4,5
27.5,71.4,0
27,81.6,11
27.7,76.9,1
26.9,81,16
24.7,96.9,26.5
25,95.1,80
26,85.5,40.5
26.2,86,1.5
27.7,74.4,0
26.7,82.9,4
28.6,76.4,0
27.9,74.3,0
28.2,72.8,0
26.5,84.3,16.5
27.9,71.5,0
27.5,73.3,0
28.6,67,0.1
29.3,64.5,0
28.9,71.3,11
26.6,79.1,7.5
26.7,74.4,0
27,72.1,0
26.8,73.6,0
27.3,67.5,0
26.5,68.6,0
26.9,66.4,0
27.1,70.4,0.1
25.8,74.9,29
26.6,61.5,0
27.9,59.9,0
26.8,70.3,0
25.4,75.5,0.4
25.2,78.3,2.5
25.5,69.8,0
26.3,65.5,0
26.3,60.6,0
21.7,76.4,5.5
21.9,68.4,0
24.7,61.1,0
23.2,69.4,0.3
24.4,65.8,0
24.9,65.9,0
25.9,62.9,0
25.9,59.4,0
23.9,72.8,0.5
23.9,75.1,18
24.8,68.5,0
21.9,79.8,5
22.2,60.4,0
22.6,52.9,0
22.7,43.6,0
22.4,42.9,0
22.4,62.3,0
21,76.4,2.5
19.2,60.4,0
20.2,54.1,0
22.1,61.1,0
22.8,48.5,0
21.6,45.5,0
21.4,46.4,0
21.9,52.1,0
22.3,58.3,0
22.1,69,0
22.6,62.1,0
23.9,48.4,0
22,57.9,0
23.4,56.4,0
23.4,56.5,0
22.4,54.5,0
21.9,39.4,0
21.4,39.6,0
22.1,36.6,0
21.3,45.3,0
16.3,77.5,35
16.5,53.5,0
19.2,49.4,0
16.6,38.9,0
18,49.4,0
18.7,57.5,0
19.6,67.5,0
20.1,61.1,0
16.2,43.8,0
12.8,70.9,3.5
10.8,72.6,3.5
12.3,56.5,0
15,66.4,0
17.1,64.6,0
17.9,62.1,0
17.5,71,0
18.7,64.8,0
17.9,65.1,0
18.1,67.4,0
18.8,69.5,0
17.9,72.5,0
17.5,64.8,0
17.5,69.1,0
16.9,64.4,10.5
16.3,51,0
15,66.8,2
12.1,69.3,26.5
9.9,49,0
8.4,50.4,0.5
5.4,41.8,0
5.7,42.5,0
7,48.4,0
10.8,60.5,0
11.8,67.6,0
12.2,62,0
13.2,63.9,0
13.5,63.9,4.5
10.5,91.5,24.5
11.1,90.6,10.5
10.8,87.6,3.5
10,80,0
11.6,72.4,0
14.5,63.5,0
11.5,83.8,22.5
12.8,97.3,3.5
13.4,84.5,0
12.2,85.1,5.5
13.9,69.6,0
10.4,70.6,5.5
8.9,72.8,0
9.8,72.6,0
9.2,55.9,0
10.2,66.5,3.5
8.5,80.9,6.5
5.6,69.5,0.5
2.4,86.8,11
-2.7,63.8,0
-2.8,59.1,0
0.1,70.8,0.1
2.5,87.9,3
4.1,69.1,0
4,57.8,0
6,71.4,13.5
-0.7,79.3,7.1
-0.4,63.9,0
3.4,51.4,0
1.3,46.4,0
1.9,51.1,0
2.9,55.9,0
5,57.4,0
7.8,74.8,0.3
6.4,56.5,0
5.2,50.1,0
5.2,50.5,0
5,75.6,2.5
4.7,69.8,0.1
-1,50.9,0
-4.6,43.4,0
-3.3,61.9,0
-0.1,66.3,0
1.5,56.9,0
2.2,76,2
3.1,67.9,0
5.9,59.6,0.4
1.5,67.5,0
-0.8,46.3,0
0.9,73.3,0.7
-5.7,39,0
-5.7,38.4,0
-3.2,47.6,0
0.3,67.6,2.5
0.7,81.3,0
1.2,73,0
5.7,76.9,0
6.5,80.6,0
2,54.4,0
-2.7,39.4,0
-1.7,54.3,0
-3.4,51.8,0
-3.3,49.8,0
-2.1,57.1,0
0.3,42.3,0
-3.8,38.3,0
-5.2,46,0
-4.5,63,0.4
-3.4,52.1,0
-0.4,52.3,0
-0.2,68,0.1
1.7,64,0
-6.3,59.8,0.2
-12.8,45.9,0
-10.5,43.6,0
-7.1,44.3,0
-7.6,40.5,0
-11.5,42,0
-14.4,48.5,0
-9.4,47.1,0
-3.3,64.5,0.3
-1.1,56.3,0
-0.5,51.5,0
1.9,43.6,0
0.6,59.5,0
-3.9,34,0
-6,36,0
-5.3,41.8,0
-2.4,49.6,0
-0.7,50.1,0
-2.2,39.4,0
-3.1,38.6,0
-2.9,46.5,0
1.3,62.1,0
0.3,52.5,0
2.7,38.5,0
8.1,29.3,0.1
8.4,95.3,18
11,95,21
-2.6,73.1,2.5
-5.8,48.4,0
-2.7,65.6,0.8
0,53.9,0
3.5,66.4,0
2.3,56.4,0
1.3,37.1,0
-0.6,36.4,0
1.1,36.6,0
0.7,56,0.9
-3,42,0
-0.2,49.9,0
2.2,41.3,0
3.3,57.6,0.2
0.7,65.5,4.1
-3.8,48.6,0
-2.7,47.3,0
3.1,67.9,0
8.1,65.1,0
13.2,55.3,0.1
11.3,91.3,40
7.9,51,0.2
8.1,36.9,0
2.7,40.4,0
0.3,37.5,0
-1.1,37.8,0
-0.5,43.8,0
2,55.6,0
3.7,68.1,0.1
4.7,57,0
5.2,43.4,0
7.5,45.1,0
9.3,40.9,0
13.4,50,0
11.4,58.3,0
10.6,54,0
9.9,54.1,0
8,58.1,0
8.2,49.6,0
7.2,36.5,0
7.1,43.9,0
6.5,54.5,0
7.2,55.6,0
9.8,47.8,0
11.3,57.8,0.1
11.5,49.9,0
13.5,27,0
15.3,26,0
15,40.8,0
10.7,75.1,2
12.3,42.6,0
11.4,45.1,0
14.4,44.3,3
14.1,69.5,7.5
11.1,76.1,0
10.7,83.9,0
13.4,71.3,0
12.5,43.8,0
14.1,42.6,0
15.6,67.5,1
